Date,Time,LogType,CurrentStatus,LatchedStatus,GeneralStatus,ProductNumber,BPMSet,TargetWeight,FullBagCount,TotalDumpWeight,IF5_CurrentStatus,IF5_WarningStatus,IF5_HopperLevel,IF5_TotalBase,IF5_TotalDry,IF5_TotalLIS,IF5_Total,IF5_DryPercent,IF5_OilPercent,IF5_LISPercent,IF5_WC_ConversionFactor
18/06/2021,07:02:26,T,650,650,1,1,50,151,1682,254419,0,0,0,0,0,0,0,0,0,0,0
18/06/2021,07:02:36,S,6,6,3,1,50,151,1686,255023,0,0,0,0,0,0,0,0,0,0,0
18/06/2021,07:02:40,S,300,6,3,1,50,151,1686,255023,0,0,0,0,0,0,0,0,0,0,0
18/06/2021,07:02:42,S,600,6,1,1,50,151,1687,255023,0,0,0,0,0,0,0,0,0,0,0
18/06/2021,07:02:44,S,650,650,1,1,50,151,1687,255174,0,0,0,0,0,0,0,0,0,0,0
18/06/2021,07:03:15,T,650,650,2,1,50,151,1707,258049,0,0,0,0,0,0,0,0,0,0,0
18/06/2021,07:03:46,T,650,650,1,1,50,151,1728,261373,0,0,0,0,0,0,0,0,0,0,0
18/06/2021,07:04:17,T,650,650,1,1,50,151,1750,264697,0,0,0,0,0,0,0,0,0,0,0
18/06/2021,07:04:48,T,650,650,1,1,50,151,1765,266962,0,0,0,0,0,0,0,0,0,0,0
18/06/2021,07:05:18,T,650,650,1,1,50,151,1783,269683,0,0,0,0,0,0,0,0,0,0,0
18/06/2021,07:05:49,T,650,650,1,1,50,151,1803,272554,0,0,0,0,0,0,0,0,0,0,0
18/06/2021,07:06:20,T,650,650,1,1,50,151,1822,275575,0,0,0,0,0,0,0,0,0,0,0
18/06/2021,07:06:51,T,650,650,1,1,50,151,1842,278595,0,0,0,0,0,0,0,0,0,0,0
18/06/2021,07:07:22,T,650,650,2,1,50,151,1866,282070,0,0,0,0,0,0,0,0,0,0,0
18/06/2021,07:07:52,T,650,650,2,1,50,151,1882,284486,0,0,0,0,0,0,0,0,0,0,0
18/06/2021,07:08:23,T,650,650,2,1,50,151,1884,284788,0,0,0,0,0,0,0,0,0,0,0
18/06/2021,07:08:54,T,650,650,1,1,50,151,1888,285543,0,0,0,0,0,0,0,0,0,0,0
18/06/2021,07:09:16,S,692,650,1,1,50,151,1898,287206,0,0,0,0,0,0,0,0,0,0,0
18/06/2021,07:09:19,S,40,40,3,1,50,151,1898,287206,0,0,0,0,0,0,0,0,0,0,0
18/06/2021,07:09:29,S,300,40,3,1,50,151,1898,287206,0,0,0,0,0,0,0,0,0,0,0
18/06/2021,07:09:37,S,550,40,3,1,50,151,1898,287206,0,0,0,0,0,0,0,0,0,0,0
18/06/2021,07:09:39,S,600,40,1,1,50,151,1898,287206,0,0,0,0,0,0,0,0,0,0,0
18/06/2021,07:09:41,S,650,650,1,1,50,151,1900,287357,0,0,0,0,0,0,0,0,0,0,0
18/06/2021,07:10:12,T,650,650,1,1,50,151,1923,290831,0,0,0,0,0,0,0,0,0,0,0
18/06/2021,07:10:43,T,650,650,1,1,50,151,1943,293701,0,0,0,0,0,0,0,0,0,0,0
18/06/2021,07:11:13,T,650,650,1,1,50,151,1965,297174,0,0,0,0,0,0,0,0,0,0,0
18/06/2021,07:11:44,T,650,650,1,1,50,151,1988,300648,0,0,0,0,0,0,0,0,0,0,0
18/06/2021,07:12:15,T,650,650,1,1,50,151,2009,303819,0,0,0,0,0,0,0,0,0,0,0
18/06/2021,07:12:46,T,650,650,2,1,50,151,2029,306840,0,0,0,0,0,0,0,0,0,0,0
18/06/2021,07:13:17,T,650,650,1,1,50,151,2050,310012,0,0,0,0,0,0,0,0,0,0,0
18/06/2021,07:13:45,S,692,650,1,1,50,151,2070,313032,0,0,0,0,0,0,0,0,0,0,0
18/06/2021,07:13:47,S,9,9,3,1,50,151,2070,313032,0,0,0,0,0,0,0,0,0,0,0
18/06/2021,07:14:18,T,9,9,3,1,50,151,2070,313032,0,0,0,0,0,0,0,0,0,0,0
18/06/2021,07:14:49,T,9,9,3,1,50,151,2070,313032,0,0,0,0,0,0,0,0,0,0,0
18/06/2021,07:14:57,S,325,9,3,1,50,151,2070,313032,0,0,0,0,0,0,0,0,0,0,0
18/06/2021,07:15:28,T,325,9,3,1,50,151,2070,313032,0,0,0,0,0,0,0,0,0,0,0
18/06/2021,07:15:44,S,300,9,3,1,50,151,2070,313032,0,0,0,0,0,0,0,0,0,0,0
18/06/2021,07:15:46,S,600,9,1,1,50,151,2070,313032,0,0,0,0,0,0,0,0,0,0,0
18/06/2021,07:15:53,S,650,650,3,1,50,151,2071,313032,0,0,0,0,0,0,0,0,0,0,0
